Name;Technology;Sample;N_obs.;Image_Size;S3_buckets;Zarr_Format;FileSize;License;Pattern
MouseIntestineVisHD;Visium HD;Mouse intestine;;;biocOSN, sandbox;v2, v3;1 GB;CCA;visium_hd_3.0.0
MouseBrainVisHD;Visium HD;Mouse brain;;;sandbox;v2;174 MB;CC BY 4.0 DEED;visium_hd_4.0.1
MouseBrainVis;Visium;Mouse brain;;;sandbox;v3;65 MB;CC BY 4.0 DEED;visium_spatialdata
LungAdenocarcinomaMCMICRO;CyCIF (MCMICRO output);Human small lung adenocarcinoma;;;biocOSN;v2;250 MB;CC BY-NC 4.0 DEED;mcmicro_io
MouseBrainMERFISH;MERFISH;Mouse brain;;;biocOSN, sandbox;v2, v3;50 MB;CC0 1.0 DEED;merfish
MouseLiverMERFISH;MERFISH;Mouse liver ;;;sandbox;v3;66 MB;CC BY 4.0 DEED;mouse_liver
ColorectalCarcinomaMIBITOF;MIBI-TOF;Human colorectal carcinoma;;;biocOSN, sandbox;v2, v3;25 MB;CC BY 4.0 DEED;mibitof
MulticancerSteinbock;IMC (Steinbock output);4 different cancers (SCCHN, BCC, NSCLC, CRC);;;biocOSN;v2;820 MB;CC BY 4.0 DEED;steinbock_io
JanesickBreastVisiumEnh;Visium;Human breast cancer;;;biocOSN, sandbox;v2, v3;1.5 GB;CCA;visium_associated_xenium_io
JanesickBreastXeniumRep1;Xenium;Human breast cancer;;;biocOSN, sandbox;v2, v3;2.8 GB;CCA;xenium_rep1_io
JanesickBreastXeniumRep2;Xenium;Human breast cancer;;;biocOSN;v2;3.7 GB;CCA;xenium_rep2_io
HumanLungMulti_10x;Xenium;Human lung Cancer;;;biocOSN, sandbox;v2, v3;5.4 GB;CC BY 4.0 DEED;HuLungXenmulti, xenium_2.0.0
Breast2fov_10x;Xenium (trimmed);Breast (2 FOVs);;;biocOSN_Xenium;v2, v3;380 MB;CCA;Xenium_V1_human_Breast_2fov
Lung2fov_10x;Xenium (trimmed);Lung (2 FOVs);;;biocOSN_Xenium;v2, v3;280 MB;CCA;Xenium_V1_human_Lung_2fov
SpaceMHelaniH3T3;SpaceM;Hepa and NIH3T3 cells;;;sandbox;v3;49 MB;CC BY 4.0 DEED;spacem_helanih3t3
